ad_archive_id,ad_creation_time,currency,max_impressions,max_spend,min_impressions,min_spend,ad_url,page_name,page_id
173634969978340,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=173634969978340,AIPAC,40217893542
174007596613675,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=174007596613675,AIPAC,40217893542
174953929848485,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=174953929848485,AIPAC,40217893542
198016070825618,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=198016070825618,AIPAC,40217893542
237471913682304,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=237471913682304,AIPAC,40217893542
238828330030707,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=238828330030707,AIPAC,40217893542
249344922488349,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=249344922488349,AIPAC,40217893542
259228587985862,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=259228587985862,AIPAC,40217893542
267320603836191,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=267320603836191,AIPAC,40217893542
393444394503815,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=393444394503815,AIPAC,40217893542
420330475100045,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=420330475100045,AIPAC,40217893542
1799217116827035,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=1799217116827035,AIPAC,40217893542
1976376255993483,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=1976376255993483,AIPAC,40217893542
2150135575275772,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=2150135575275772,AIPAC,40217893542
198319780802032,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=198319780802032,AIPAC,40217893542
357322501457848,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=357322501457848,AIPAC,40217893542
172856230057941,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=172856230057941,AIPAC,40217893542
186569075509424,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=186569075509424,AIPAC,40217893542
206899083368907,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=206899083368907,AIPAC,40217893542
214237039301797,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=214237039301797,AIPAC,40217893542
228436391075877,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=228436391075877,AIPAC,40217893542
242056219898955,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=242056219898955,AIPAC,40217893542
250214809058264,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=250214809058264,AIPAC,40217893542
310815839455626,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=310815839455626,AIPAC,40217893542
312064179342149,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=312064179342149,AIPAC,40217893542
449540572153121,2018-05-24,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=449540572153121,AIPAC,40217893542
526091401158586,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=526091401158586,AIPAC,40217893542
2131130436911243,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=2131130436911243,AIPAC,40217893542
417535022053972,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=417535022053972,AIPAC,40217893542
199694084187959,2018-06-04,USD,5999,199,5000,100,https://www.facebook.com/ads/library/?id=199694084187959,AIPAC,40217893542
202848280340429,2018-06-04,USD,19999,499,15000,400,https://www.facebook.com/ads/library/?id=202848280340429,AIPAC,40217893542
224382858367431,2018-06-04,USD,2999,99,2000,0,https://www.facebook.com/ads/library/?id=224382858367431,AIPAC,40217893542
251602122064975,2018-06-04,USD,19999,699,15000,600,https://www.facebook.com/ads/library/?id=251602122064975,AIPAC,40217893542
505970816534846,2018-06-04,USD,7999,299,7000,200,https://www.facebook.com/ads/library/?id=505970816534846,AIPAC,40217893542
637775319905962,2018-06-04,USD,4999,199,4000,100,https://www.facebook.com/ads/library/?id=637775319905962,AIPAC,40217893542
732972803759675,2018-06-04,USD,4999,199,4000,100,https://www.facebook.com/ads/library/?id=732972803759675,AIPAC,40217893542
1354544578023160,2018-06-04,USD,9999,299,9000,200,https://www.facebook.com/ads/library/?id=1354544578023160,AIPAC,40217893542
1562022410586502,2018-06-04,USD,3999,99,3000,0,https://www.facebook.com/ads/library/?id=1562022410586502,AIPAC,40217893542
1632748933489326,2018-06-04,USD,19999,599,15000,500,https://www.facebook.com/ads/library/?id=1632748933489326,AIPAC,40217893542
1836079813120678,2018-06-04,USD,14999,499,10000,400,https://www.facebook.com/ads/library/?id=1836079813120678,AIPAC,40217893542
1920980224625483,2018-06-04,USD,6999,199,6000,100,https://www.facebook.com/ads/library/?id=1920980224625483,AIPAC,40217893542
1061684077303275,2018-06-04,USD,2999,99,2000,0,https://www.facebook.com/ads/library/?id=1061684077303275,AIPAC,40217893542
1258777844255330,2018-06-04,USD,2999,99,2000,0,https://www.facebook.com/ads/library/?id=1258777844255330,AIPAC,40217893542
514371825627732,2018-06-04,USD,24999,1499,20000,1000,https://www.facebook.com/ads/library/?id=514371825627732,AIPAC,40217893542
198577267445450,2018-06-07,USD,9999,299,9000,200,https://www.facebook.com/ads/library/?id=198577267445450,AIPAC,40217893542
243629309521278,2018-06-07,USD,19999,399,15000,300,https://www.facebook.com/ads/library/?id=243629309521278,AIPAC,40217893542
